"url","date","time","likes","tweets"
"http://www.eldiario.es/agendapublica/blog/ejercito-institucion-punto-mira_6_112398768.html",2013-03-18,"19:10","171","76"
"http://www.eldiario.es/agendapublica/blog/Espana-espejo-Italia-confiamos-desconfianza_6_111348873.html",2013-03-17,"19:08","744","69"
"http://www.eldiario.es/agendapublica/blog/antipolitico-Marcos-protesta-agenda-politica_6_111348865.html",2013-03-16,"19:36","59","155"
"http://www.eldiario.es/agendapublica/blog/Nuevas-tecnologias-opinion-publica_6_110998906.html",2013-03-15,"06:00","0","66"
"http://www.eldiario.es/agendapublica/blog/M5S-Beppe-Grillo-partido-izquierdas_6_110998900.html",2013-03-14,"08:00","661","216"
"http://www.eldiario.es/agendapublica/blog/problema-seleccion-politicos-control-administracion_6_110298979.html",2013-03-13,"06:00","34","50"
"http://www.eldiario.es/agendapublica/blog/Corrupcion-Espana-democratica-fallos-sistema_6_109949009.html",2013-03-12,"06:00","91","145"
"http://www.eldiario.es/agendapublica/blog/trampa-ingresos-medios_6_109599046.html",2013-03-12,"06:00","1","6"
"http://www.eldiario.es/agendapublica/blog/funcionarios_6_109599045.html",2013-03-11,"06:00","156","64"
"http://www.eldiario.es/agendapublica/blog/banca-debe-asumir-dacion-pago_6_108899118.html",2013-03-10,"06:00","413","185"
"http://www.eldiario.es/agendapublica/blog/Mujeres-Agenda_6_108549157.html",2013-03-08,"08:34","12","24"
"http://www.eldiario.es/agendapublica/blog/Gallardon-injerencia-poder-ejecutivo-cuestiones_6_108549153.html",2013-03-08,"06:00","59","65"
"http://www.eldiario.es/agendapublica/blog/PSOE-PSC-alemana_6_108549150.html",2013-03-07,"09:16","70","79"
"http://www.eldiario.es/agendapublica/blog/espanolas-indiferentes-politicas-publicas-igualdad_6_107849221.html",2013-03-06,"06:00","215","154"
"http://www.eldiario.es/agendapublica/blog/etica-solidaria_6_107499272.html",2013-03-05,"06:00","27","44"
"http://www.eldiario.es/agendapublica/blog/paridad-bien-publico_6_106449373.html",2013-03-04,"06:00","53","113"
"http://www.eldiario.es/agendapublica/blog/Almunia-Beppe-Italia-Espana_6_106449370.html",2013-03-02,"21:34","0","99"
"http://www.eldiario.es/agendapublica/blog/futuro-partidos-transformacion-desaparicion_6_106099405.html",2013-03-01,"09:37","214","148"
"http://www.eldiario.es/agendapublica/blog/Tomarse-serio-responsabilidad-politica_6_105399467.html",2013-02-28,"06:00","55","77"
"http://www.eldiario.es/agendapublica/blog/disputado-sueldo-Senorias_6_105749441.html",2013-02-28,"06:00","149","69"
"http://www.eldiario.es/agendapublica/blog/Regenerarse-morir_6_105399466.html",2013-02-27,"06:00","31","40"
"http://www.eldiario.es/agendapublica/blog/ultimo-irse-apague-luz_6_105049505.html",2013-02-26,"06:00","94","63"
"http://www.eldiario.es/agendapublica/blog/enemigos-internos-sanidad-publica-combatirlos_6_104699533.html",2013-02-25,"06:00","153","172"
"http://www.eldiario.es/agendapublica/blog/Crisis-sociedad-movimientos-sociales-expectativas_6_103999602.html",2013-02-23,"21:59","282","132"
"http://www.eldiario.es/agendapublica/blog/Vale-cualquier-estrategia-crecimiento_6_103649645.html",2013-02-22,"06:00","38","69"
"http://www.eldiario.es/agendapublica/blog/sector-publico-potente_6_103649650.html",2013-02-22,"06:00","36","42"
"http://www.eldiario.es/agendapublica/blog/derecha-tiende-cinismo-izquierda-melancolia_6_103299682.html",2013-02-20,"22:24","127","109"
"http://www.eldiario.es/agendapublica/blog/Regular-politica-partidos-eleccion-candidatos_6_102949720.html",2013-02-20,"06:00","83","76"
"http://www.eldiario.es/agendapublica/blog/Reiniciando-Espana_6_102599746.html",2013-02-19,"06:00","19","35"
"http://www.eldiario.es/agendapublica/blog/Hablemos-derecho-decidir-Cataluna_6_102599747.html",2013-02-19,"06:00","29","41"
"http://www.eldiario.es/agendapublica/blog/paro-juvenil-problema_6_101199882.html",2013-02-18,"06:00","125","173"
"http://www.eldiario.es/agendapublica/blog/Funcionarios-disonancia-cognitiva_6_101199881.html",2013-02-15,"06:00","56","40"
"http://www.eldiario.es/agendapublica/blog/PSOE-influencia-Willy-Brandt_6_101199894.html",2013-02-15,"06:00","7","20"
"http://www.eldiario.es/agendapublica/blog/avanzado-integracion-europea-anos-anteriores_6_100849933.html",2013-02-13,"20:24","164","76"
"http://www.eldiario.es/agendapublica/blog/castigamos-corrupcion_6_100499961.html",2013-02-12,"19:45","26","242"
"http://www.eldiario.es/agendapublica/blog/hollandismo_6_100499952.html",2013-02-12,"08:18","33","23"
"http://www.eldiario.es/agendapublica/blog/Partidos-Populares-Comunidades-Autonomas_6_100149988.html",2013-02-12,"07:00","20","42"
"http://www.eldiario.es/agendapublica/blog/construccion-identidad-nacionalcatolicismo-patriotismo-democratico_6_99100092.html",2013-02-11,"07:00","83","70"
"http://www.eldiario.es/agendapublica/blog/Merkel-Draghi-Leyendo-entrelineas_6_99100108.html",2013-02-11,"07:00","16","22"
"http://www.eldiario.es/agendapublica/blog/izquierda-America-Latina-estilos-gobierno_6_98750136.html",2013-02-08,"07:00","20","27"
"http://www.eldiario.es/agendapublica/blog/detras-mascara_6_98750137.html",2013-02-08,"07:00","13","15"
"http://www.eldiario.es/agendapublica/blog/Monarquia-pasar-pagina_6_98050214.html",2013-02-06,"19:06","153","83"
"http://www.eldiario.es/agendapublica/blog/contrato-atraerlos_6_98050211.html",2013-02-06,"10:03","0","49"
"http://www.eldiario.es/agendapublica/blog/Dinero-politica_6_98050212.html",2013-02-06,"01:48","757","331"
"http://www.eldiario.es/agendapublica/blog/saben-ciudadanos-politica-hombres-mujeres_6_97700239.html",2013-02-04,"20:46","2","122"
"http://www.eldiario.es/agendapublica/blog/Autodeterminacion-derecho-decidir-reflexiones-internacional_6_97700231.html",2013-02-04,"08:51","83","58"
"http://www.eldiario.es/agendapublica/blog/reformas-politicas-necesarias-situacion-sociedad_6_96300389.html",2013-02-01,"08:43","62","84"
"http://www.eldiario.es/agendapublica/blog/crisis-europea-austeridad-gasto-Europa_6_95950416.html",2013-01-31,"08:58","20","41"
"http://www.eldiario.es/agendapublica/blog/ideologia-generacion-perdida_6_95600447.html",2013-01-29,"20:39","1493","764"
"http://www.eldiario.es/agendapublica/blog/Schumpeter-partida-emergentes-resistiremos-impacto_6_95250487.html",2013-01-29,"09:55","6","18"
"http://www.eldiario.es/agendapublica/blog/presidencia-Eurogrupo-hegemonia-ideologica-Europa_6_95250482.html",2013-01-29,"09:19","5","22"
"http://www.eldiario.es/agendapublica/blog/crisis-vulnerables-fragmentados_6_95250476.html",2013-01-28,"09:23","496","280"
"http://www.eldiario.es/agendapublica/blog/brecha-empleo-Espana_6_93850641.html",2013-01-25,"08:50","50","98"
"http://www.eldiario.es/agendapublica/blog/Entrevista-Fernando-Vallespin-demostrado-dependencia_6_93150696.html",2013-01-24,"09:02","329","137"
"http://www.eldiario.es/agendapublica/blog/Hablando-equidad-justicia_6_93150698.html",2013-01-23,"13:54","27","38"
"http://www.eldiario.es/agendapublica/blog/Consecuencias-electorales-generales_6_93150697.html",2013-01-23,"09:09","0","295"
"http://www.eldiario.es/agendapublica/blog/Pallerols-Barcenas-reforma-Codigo-Penal_6_92800735.html",2013-01-21,"19:30","62","103"
"http://www.eldiario.es/agendapublica/blog/Privatizar-sanidad-confundir-prioridades_6_92800723.html",2013-01-21,"09:00","45","65"
"http://www.eldiario.es/agendapublica/blog/Constitucion-Europa_6_91750827.html",2013-01-18,"09:26","8","46"
"http://www.eldiario.es/agendapublica/blog/parentesis-gobierno-tecnico-beneficions-agenda_6_91750826.html",2013-01-18,"09:20","14","9"
"http://www.eldiario.es/agendapublica/blog/pasara-crecemos-corto-plazo_6_91050904.html",2013-01-17,"09:12","83","101"
"http://www.eldiario.es/agendapublica/blog/Austeridad-Equidad_6_90700948.html",2013-01-15,"21:47","39","106"
"http://www.eldiario.es/agendapublica/blog/Apuntes-valoracion-Universidad-publica_6_90700931.html",2013-01-15,"08:37","0","107"
"http://www.eldiario.es/agendapublica/blog/tomar-iniciativa_6_90350966.html",2013-01-14,"09:43","9","13"
"http://www.eldiario.es/agendapublica/blog/pax-germana_6_89301076.html",2013-01-11,"09:31","24","40"
"http://www.eldiario.es/agendapublica/blog/Alemania-abocada-abismo-desigualdad-social_6_89301075.html",2013-01-11,"09:15","539","188"
"http://www.eldiario.es/agendapublica/blog/politica-fiscal-eficaz-progresiva_6_88601151.html",2013-01-10,"09:08","179","126"
"http://www.eldiario.es/agendapublica/blog/Gestion-sanitaria-privada-perspectivas-conclusiones_6_88251180.html",2013-01-09,"09:20","747","384"
"http://www.eldiario.es/agendapublica/blog/Modelos-gestion-sanitaria-motivos-cambio_6_87901218.html",2013-01-07,"19:43","840","357"
"http://www.eldiario.es/agendapublica/blog/Necesitamos-universidades-autonomas-abiertas-responsables_6_87901213.html",2013-01-07,"09:06","144","130"
"http://www.eldiario.es/agendapublica/blog/promesa-politica_6_86501367.html",2013-01-04,"09:18","4","42"
"http://www.eldiario.es/agendapublica/blog/ONGs-renovarse-morir_6_86151393.html",2013-01-03,"09:23","0","161"
"http://www.eldiario.es/agendapublica/blog/Incompetente-irresponsable-mandato-Mariano-Rajoy_6_86151385.html",2013-01-02,"09:30","751","305"
"http://www.eldiario.es/agendapublica/blog/los10masleidosAP_6_85451456.html",2012-12-31,"11:35","7","10"
"http://www.eldiario.es/agendapublica/blog/corrupcion-analizada-cientificamente_6_81951805.html",2012-12-21,"09:44","48","96"
"http://www.eldiario.es/agendapublica/blog/solucion-solo-crecer-manera_6_81251892.html",2012-12-20,"08:27","21","41"
"http://www.eldiario.es/agendapublica/blog/solo-trata-corregir-desigualdades-originarlas_6_80901928.html",2012-12-19,"09:45","45","56"
"http://www.eldiario.es/agendapublica/blog/izquierda-estanca-conservadurismo_6_80901925.html",2012-12-18,"15:40","27","28"
"http://www.eldiario.es/agendapublica/blog/crisis-Cuidado_6_78102196.html",2012-12-18,"09:12","26","23"
"http://www.eldiario.es/agendapublica/blog/Pueden-partidos-cambiar-ideas-lideres_6_80551947.html",2012-12-17,"09:44","564","222"
"http://www.eldiario.es/agendapublica/blog/republicanismo-civico_6_78452184.html",2012-12-14,"13:59","30","23"
"http://www.eldiario.es/agendapublica/blog/vieja-historia-jovenes_6_78802129.html",2012-12-14,"10:08","6","15"
"http://www.eldiario.es/agendapublica/blog/hachazo-pensiones-decision-injusta-falaz_6_78452179.html",2012-12-13,"11:05","32","93"
"http://www.eldiario.es/agendapublica/blog/Voto-Indignado_6_78452183.html",2012-12-13,"09:18","352","52"
"http://www.eldiario.es/agendapublica/blog/CiU-ERC-extrana-pareja-extremena_6_78452181.html",2012-12-12,"10:50","5","31"
"http://www.eldiario.es/agendapublica/blog/Universidad-problema-problemas_6_78452177.html",2012-12-12,"09:59","0","159"
"http://www.eldiario.es/agendapublica/blog/Dualidad-partes_6_76002422.html",2012-12-11,"09:55","197","76"
"http://www.eldiario.es/agendapublica/blog/desigualdad-cosas-edad_6_77752228.html",2012-12-10,"09:51","79","36"
"http://www.eldiario.es/agendapublica/blog/crecer-clase-crecimiento_6_77052298.html",2012-12-07,"09:43","169","77"
"http://www.eldiario.es/agendapublica/blog/Desigualdades-salud-nivel-urbano_6_76002417.html",2012-12-05,"09:31","53","82"
